#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-07-16T13:55:56 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53c683ad48b4	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=VII/174/table2
#-nav=cat:VII/174&tab:{VII/174/table2}&key:source=VII/174&HTTPPRM:&&-ref=VIZ53c683ad48b4&-out.max=unlimited&-out.form=HTML Table&-out.all=2&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Cluster&Cluster=Abell 2256&-out=Galaxy&-out=X&-out=Y&-out=RA1950&-out=DE1950&-out=Mtype&-out=mvis&-out=mbulge&-out=Eps&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=VII/174/table2
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/174/table2
#-order=I
#-out=Cluster
#Cluster=Abell 2256
#-out=Galaxy
#-out=X
#-out=Y
#-out=RA1950
#-out=DE1950
#-out=Mtype
#-out=mvis
#-out=mbulge
#-out=Eps
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_7174
#Name: VII/174
#Title: Morphological type catalog in 55 rich galaxy clusters (Dressler, 1980)
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_174_table2:
#Name: VII/174/table2
#Title: Morphological types in 55 rich clusters of galaxies
#Column	Cluster	(A10)	Cluster name	[ucd=meta.id.part;meta.main]
#Column	Galaxy	(I3)	Galaxy number in the cluster	[ucd=meta.id.part;meta.main]
#Column	X	(I3)	X position	[ucd=pos.cartesian.x]
#Column	Y	(I3)	Y position	[ucd=pos.cartesian.y]
#Column	RA1950	(A10)	Right ascension 1950	[ucd=pos.eq.ra;meta.main]
#Column	DE1950	(A9)	Declination 1950	[ucd=pos.eq.dec;meta.main]
#Column	Mtype	(a8)	Morphological type	[ucd=src.morph.type]
#Column	mvis	(I2)	? Estimated total apparent magnitude [NULL integer written as an empty string]	[ucd=phot.mag;em.opt.V]
#Column	mbulge	(I2)	? Estimated bulge magnitude (1) [NULL integer written as an empty string]	[ucd=phot.mag]
#Column	Eps	(I2)	? Estimated ellipticity (2) [NULL integer written as an empty string]	[ucd=src.ellipticity]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Cluster;Galaxy;X;Y;RA1950;DE1950;Mtype;mvis;mbulge;Eps;_RA.icrs;_DE.icrs
 ; ;mm;mm;"h:m:s";"d:m:s"; ;mag;mag; ;"h:m:s";"d:m:s"
----------;---;---;---;----------;---------;--------;--;--;--;----------;---------
Abell 2256;  1; 44; 19;17 11 18.0;+78 33 31;S0      ;  ;  ;  ;17 08 30.4;+78 29 54
Abell 2256;  2; 61; 23;17 09 39.1;+78 34 43;S0      ;  ;  ;  ;17 06 51.5;+78 30 59
Abell 2256;  3; 78; 25;17 07 54.8;+78 35 29;S0      ;  ;  ;  ;17 05 07.4;+78 31 37
Abell 2256;  4; 78; 14;17 07 50.8;+78 32 16;S0      ;  ;  ;  ;17 05 05.0;+78 28 24
Abell 2256;  5;125; 22;17 03 06.5;+78 34 52;S       ;  ;  ;  ;17 00 21.2;+78 30 40
Abell 2256;  6;140; 23;17 01 35.0;+78 35 18;S0      ;  ;  ;  ;16 58 50.1;+78 31 00
Abell 2256;  7;146; 18;17 00 59.5;+78 33 57;S       ;  ;  ;  ;16 58 15.4;+78 29 36
Abell 2256;  8; 33; 30;17 12 27.8;+78 36 40;S       ;  ;  ;  ;17 09 38.3;+78 33 08
Abell 2256;  9; 42; 33;17 11 33.1;+78 37 40;S0      ;  ;  ;  ;17 08 43.5;+78 34 04
Abell 2256; 10; 49; 45;17 10 54.2;+78 41 15;S0      ;  ;  ;  ;17 08 03.0;+78 37 36
Abell 2256; 11; 55; 42;17 10 16.5;+78 40 25;E       ;  ;  ;  ;17 07 25.9;+78 36 43
Abell 2256; 12; 56; 41;17 10 13.8;+78 40 07;S       ;  ;  ;  ;17 07 23.4;+78 36 25
Abell 2256; 13; 62; 38;17 09 36.1;+78 39 21;S0      ;  ;  ;  ;17 06 46.3;+78 35 36
Abell 2256; 14; 63; 39;17 09 29.0;+78 39 41;U       ;  ;  ;  ;17 06 39.1;+78 35 56
Abell 2256; 15; 73; 45;17 08 27.8;+78 41 30;S       ;  ;  ;  ;17 05 37.3;+78 37 41
Abell 2256; 16; 67; 29;17 08 59.5;+78 36 42;S0      ;  ;  ;  ;17 06 11.2;+78 32 55
Abell 2256; 17; 74; 37;17 08 18.6;+78 38 59;S0/E    ;  ;  ;  ;17 05 29.4;+78 35 09
Abell 2256; 18; 82; 44;17 07 31.5;+78 41 18;S0      ;  ;  ;  ;17 04 41.5;+78 37 25
Abell 2256; 19; 88; 31;17 06 49.8;+78 37 23;S0      ;  ;  ;  ;17 04 01.9;+78 33 27
Abell 2256; 20; 89; 45;17 06 45.9;+78 41 35;S0      ;  ;  ;  ;17 03 56.0;+78 37 38
Abell 2256; 21; 98; 40;17 05 49.1;+78 40 00;E       ;  ;  ;  ;17 03 00.3;+78 35 59
Abell 2256; 22; 99; 43;17 05 46.9;+78 40 54;E/S0    ;  ;  ;  ;17 02 57.7;+78 36 53
Abell 2256; 23;102; 32;17 05 23.8;+78 37 38;S0      ;  ;  ;  ;17 02 36.3;+78 33 36
