Name,  Ra Radio,  Dec Radio,  Area observed,  Area detectable,  flux(mJy),  log(lum),  log(lum) detectable,  num Optt,  z,  RaOpt,  DecOpt,   MagNED,   Note
A1,  255.898292,  78.628917,  155.0,  21.058544,  0.086456,  10.251422,  20.180309,  251,  0.053614,  255.9,  78.6288888889,        16.1V,     None  

A2,  255.891375,  78.629778,  6585.0,  22.686768,  0.083825,  10.251422,  20.180525,  251,  0.056469,  255.892083333,  78.63,        13.8V,     None  

A3,  255.872375,  78.632028,  121250.0,  23.951894,  0.078643,  10.251422,  20.180986,  251,  0.059362,  255.872916667,  78.6319444444,        16.0V,     None  

A4,  255.761542,  78.59875,  71953.0,  23.725261,  0.338224,  10.251422,  20.180222,  251,  0.055045,  255.762083333,  78.5988888889,        15.2V,     None  

A5,  255.875167,  78.665167,  49700.0,  23.564569,  0.007352,  10.251422,  20.199902,  251,  0.058567,  255.875416667,  78.6652777778,        15.5V,     None  

A6,  255.2175,  78.689278,  9253.0,  22.834495,  1.190406,  10.251422,  20.218883,  251,  0.057823,  255.2175,  78.6891666667,        16.0V,     None  

A7,  256.414792,  78.62625,  775.0,  21.757514,  0.630822,  10.251422,  20.192015,  251,  0.053844,  256.412916667,  78.6255555556,        15.59,     None

A8,  256.734208,  78.685972,  9190.0,  22.831528,  1.489105,  10.251422,  20.234525,  251,  0.056112,  256.734583333,  78.6858333333,        15.9V,     None  

A9,  256.680083,  78.59925,  1451.0,  22.02988,  1.553493,  10.251422,  20.238048,  251,  0.049734,  256.680416667,  78.5991666667,        16.4V,     None  

A10,  255.985625,  78.745528,  5348.0,  22.596404,  0.374304,  10.251422,  20.181432,  251,  0.05709,  255.985833333,  78.7455555556,        16.1V,     **Note:G12 No radio

A11,  255.562417,  78.596472,  524.0,  21.587544,  0.603027,  10.251422,  20.190772,  251,  0.06241,  255.562916667,  78.5963888889,        15.7V,     None  

A12,  255.842667,  78.782222,  1140.0,  21.925117,  0.806909,  10.251422,  20.200143,  251,  0.065398,  255.842916667,  78.7822222222,        16.9V,     None  

A13,  256.200292,  78.641556,  11792.0,  22.9398,  0.202259,  10.251422,  20.177308,  251,  0.063294,  256.200416667,  78.6413888889,        15.1V,     None  

A14,  255.348458,  78.687528,  1241.0,  21.961984,  0.799476,  10.251422,  20.199793,  251,  0.054094,  255.347083333,  78.6875,        16.1V,     None  

A15,  254.576833,  78.492778,  3189.0,  22.371867,  6.032179,  10.251422,  20.633682,  251,  0.059521,  254.576666667,  78.4927777778,        15.2V,     None  

A16,  254.696958,  78.422611,  1109.0,  21.913144,  7.064728,  10.251422,  20.74142,  251,  0.052159,  254.695,  78.4227777778,        15.5V,     None  

A17,  255.7985,  78.674944,  28.0,  20.31537,  0.044376,  3.184009,  20.185688,  96,  0.052276,  255.799583333,  78.675,        16.4V,     None  

A18,  256.067708,  78.679222,  118.0,  20.940094,  0.051663,  8.964183,  20.184372,  237,  0.052133,  256.068333333,  78.6791666667,        16.1V,     None  

A19,  256.112208,  78.640361,  26.0,  20.283186,  0.115386,  2.991431,  20.178562,  85,  0.059366,  256.113333333,  78.6402777778,        13.8V,     None  

A20,  255.704083,  78.641333,  29.0,  20.33061,  0.155912,  3.281671,  20.177449,  98,  0.056492,  255.705416667,  78.6413888889,        16.5V,     None  

