255.89875,	78.665,	0.051632,	      16.7V,	   None  

255.905416667,	78.675,	0.056641,	      18.0V,	   None  

255.924583333,	78.6547222222,	0.049175,	      18.5R,	   None  

256.004166667,	78.6583333333,	0.059,	       ... ,	   None  

255.9625,	78.6430555556,	0.05732,	       ... ,	   None  

255.803333333,	78.6722222222,	0.055495,	      17.9V,	   None  

255.9075,	78.6408333333,	0.058801,	      16.9V,	   None  

255.884166667,	78.6305555556,	0.0593,	       ... ,	   None  

255.98625,	78.6266666667,	0.050251,	      16.4V,	   None  

256.125416667,	78.6466666667,	0.055879,	      17.3V,	   None  

255.94375,	78.6233333333,	0.05966,	      17.9V,	   None  

256.100833333,	78.6383333333,	0.0581,	      15.5 ,	   None

256.05625,	78.6286111111,	0.056092,	      14.6V,	   None  

255.745,	78.6377777778,	0.05258,	      17.2R,	   None  

255.886666667,	78.6172222222,	0.056034,	      18.2V,	   None  

255.93125,	78.7175,	0.0581,	       ... ,	   None  

255.742083333,	78.7013888889,	0.053293,	      17.4R,	   None  

255.909583333,	78.615,	0.052863,	      17.4V,	   None  

256.091666667,	78.7083333333,	0.049891,	      16.9V,	   None  

256.1975,	78.6752777778,	0.055374,	      17.7V,	   None  

256.16875,	78.6919444444,	0.062032,	      18.3V,	   None  

255.869583333,	78.6141666667,	0.059714,	      16.7V,	   None  

255.655833333,	78.6763888889,	0.059306,	      17.3V,	   None  

256.137083333,	78.7055555556,	0.050664,	      17.2V,	   None  

256.21625,	78.6741666667,	0.059155,	      17.3V,	   None  

255.644583333,	78.6602777778,	0.059221,	      16.9V,	   None  

256.169583333,	78.6280555556,	0.065628,	      17.2V,	   None  

255.75625,	78.6144444444,	0.055091,	      16.4V,	   None  

256.264583333,	78.6672222222,	0.055912,	      16.5V,	   None  

256.183333333,	78.6227777778,	0.050398,	      16.2V,	   None  

256.205833333,	78.6283333333,	0.057424,	      17.4R,	   None  

255.839583333,	78.7316666667,	0.050235,	      16.4R,	   None  

256.240833333,	78.6369444444,	0.065131,	      17.5V,	   None  

256.08875,	78.6058333333,	0.058071,	      18.2V,	   None  

256.243333333,	78.7008333333,	0.05767,	      17.0V,	   None  

255.579166667,	78.6483333333,	0.053,	       ... ,	   None  

255.9825,	78.7388888889,	0.052198,	      17.9V,	   None  

255.571666667,	78.6383333333,	0.052136,	      16.7V,	   None  

255.857083333,	78.5916666667,	0.053432,	      18.3V,	   None  

255.633333333,	78.7180555556,	0.051432,	      16.8V,	   None  

256.326666667,	78.6461111111,	0.058981,	      16.6V,	   None  

256.35,	78.6730555556,	0.060466,	      17.7V,	   None  

256.362916667,	78.6463888889,	0.065375,	      16.6V,	   None  

256.3775,	78.6719444444,	0.057353,	      16.4V,	   None  

255.57125,	78.7213888889,	0.060465,	      16.6V,	   None  

256.050833333,	78.58,	0.065521,	      17.5V,	   None  

255.946666667,	78.5763888889,	0.057623,	      17.3V,	   None  

256.38625,	78.6505555556,	0.051272,	      16.9V,	   None  

255.73,	78.5844444444,	0.054559,	      17.0V,	   None  

255.584166667,	78.6036111111,	0.051961,	      16.8V,	   None  

256.389583333,	78.6947222222,	0.05934,	      18.3V,	   None  

256.079166667,	78.7569444444,	0.065738,	       ... ,	   None  

255.492083333,	78.7105555556,	0.049483,	      16.6R,	   None  

256.117916667,	78.7577777778,	0.058485,	      18.6V,	   None  

255.595,	78.5938888889,	0.055722,	      16.6V,	   None  

256.448333333,	78.6658333333,	0.062097,	       ... ,	   None  

255.612916667,	78.7469444444,	0.056256,	      17.1V,	   None  

255.805416667,	78.7655555556,	0.052236,	      16.8V,	   None  

256.247083333,	78.5844444444,	0.057016,	      16.8V,	   None  

256.19625,	78.5761111111,	0.062766,	      16.3R,	   None  

255.59,	78.7505555556,	0.058541,	      17.6V,	   None  

255.38,	78.6697222222,	0.065624,	      19.3R,	   None  

255.434166667,	78.6147222222,	0.060362,	      17.5V,	   None  

256.0175,	78.5563888889,	0.057891,	      17.0V,	   None  

256.382916667,	78.5972222222,	0.062218,	      17.8V,	   None  

255.65125,	78.7661111111,	0.063104,	      16.8V,	   None  

256.427083333,	78.6069444444,	0.058501,	      17.6V,	   None  

256.234166667,	78.5675,	0.061636,	      18.3V,	   None  

255.409166667,	78.7213888889,	0.056923,	      17.0R,	   None  

255.802083333,	78.5525,	0.055052,	      16.6V,	   None  

255.544583333,	78.7580555556,	0.060002,	      16.1V,	   None  

255.660416667,	78.5594444444,	0.051409,	      16.6V,	   None  

